model,dataset,test-size,key,percentage
vgpt2,libero,0.03,r10,0.03
vgpt2,libero,0.0,r9,0.0
vgpt2,libero,0.0,r11,0.0
vgpt2,libero,0.11,r2,0.11
vgpt2,libero,0.07,r4,0.07
vgpt2,libero,0.05,r14,0.05
vgpt2,libero,0.03,r19,0.03
vgpt2,libero,0.0,r3,0.0
vgpt2,libero,0.0,r12,0.0
vgpt2,libero,0.0,r17,0.0
vgpt2,libero,0.0,r18,0.0
vgpt2,libero,0.0,r15,0.0
vgpt2,libero,0.0,r16,0.0
vgpt2,libero,0.0,r8,0.0
vgpt2,libero,0.0,r13,0.0
vgpt2,libero,0.0,r5,0.0
vgpt2,mailru,9.09,r6,9.09
vgpt2,mailru,6.38,r10,6.38
vgpt2,mailru,0.65,r12,0.65
vgpt2,mailru,8.64,r1,8.64
vgpt2,mailru,10.29,r2,10.29
vgpt2,mailru,20.32,r19,20.32
vgpt2,mailru,61.29,r4,61.29
vgpt2,mailru,51.04,r14,51.04
vgpt2,mailru,0.39,r9,0.39
vgpt2,mailru,2.66,r8,2.66
vgpt2,mailru,3.54,r13,3.54
vgpt2,mailru,0.32,r7,0.32
vgpt2,mailru,0.0,r15,0.0
vgpt2,mailru,0.0,r3,0.0
vgpt2,mailru,0.77,r11,0.77
vgpt2,mailru,0.86,r17,0.86
vgpt2,mailru,0.0,r16,0.0
vgpt2,mailru,0.44,r18,0.44
vgpt2,mailru,0.0,r5,0.0
vgpt2,gmail,7.04,r6,7.04
vgpt2,gmail,8.49,r10,8.49
vgpt2,gmail,15.63,r19,15.63
vgpt2,gmail,16.23,r1,16.23
vgpt2,gmail,16.23,r2,16.23
vgpt2,gmail,30.47,r4,30.47
vgpt2,gmail,27.86,r14,27.86
vgpt2,gmail,2.04,r7,2.04
vgpt2,gmail,1.55,r11,1.55
vgpt2,gmail,1.58,r8,1.58
vgpt2,gmail,0.81,r17,0.81
vgpt2,gmail,0.47,r9,0.47
vgpt2,gmail,3.47,r12,3.47
vgpt2,gmail,8.93,r15,8.93
