model,dataset,test-size,key,percentage
passgpt,linkedin,44,4,27.27
passgpt,linkedin,10,1,100.0
passgpt,linkedin,1,3,100.0
vgpt2,ashleymadison,7228,10,0.0
vgpt2,ashleymadison,1633,11,0.0
vgpt2,ashleymadison,14721,6,0.05
vgpt2,ashleymadison,18668,8,0.37
vgpt2,ashleymadison,5385,5,0.09
vgpt2,ashleymadison,9888,9,0.16
vgpt2,ashleymadison,13723,7,0.23
vgpt2,ashleymadison,966,12,0.0
vgpt2,ashleymadison,1926,4,0.1
vgpt2,ashleymadison,155,3,1.29
vgpt2,ashleymadison,6,1,100.0
vgpt2,ashleymadison,21,2,38.1
vgpt2,libero,12737,6,0.03
vgpt2,libero,17438,9,0.15
vgpt2,libero,12247,10,0.02
vgpt2,libero,6487,11,0.0
vgpt2,libero,44,5,0.0
vgpt2,libero,9459,7,0.02
vgpt2,libero,31477,8,0.06
vgpt2,libero,4697,12,0.0
vgpt2,libero,27,4,0.0
vgpt2,libero,1,2,100.0
vgpt2,libero,2,3,0.0
vgpt2,mailru,36530,11,0.03
vgpt2,mailru,135007,8,12.94
vgpt2,mailru,29474,12,0.0
vgpt2,mailru,50972,10,0.25
vgpt2,mailru,74501,9,8.25
vgpt2,mailru,85038,7,22.34
vgpt2,mailru,79124,6,46.77
vgpt2,mailru,3013,4,68.4
vgpt2,mailru,4663,5,50.42
vgpt2,mailru,111,3,67.57
vgpt2,mailru,2,2,50.0
vgpt2,mailru,1,1,100.0
vgpt2,gmail,106116,6,49.59
vgpt2,gmail,121286,10,0.06
vgpt2,gmail,93461,7,17.49
vgpt2,gmail,17203,12,0.0
vgpt2,gmail,217137,8,4.85
vgpt2,gmail,109135,9,0.71
vgpt2,gmail,5044,4,79.32
vgpt2,gmail,27565,11,0.0
vgpt2,gmail,16700,5,68.83
vgpt2,gmail,2080,3,44.71
vgpt2,gmail,197,2,77.66
vgpt2,gmail,27,1,96.3
vgpt2,taobao,210559,8,10.38
vgpt2,taobao,100824,12,0.16
vgpt2,taobao,233478,10,1.25
vgpt2,taobao,159572,11,0.51
vgpt2,taobao,169805,7,40.25
vgpt2,taobao,230425,9,2.46
vgpt2,taobao,109352,6,47.17
vgpt2,taobao,1699,5,41.44
vgpt2,taobao,1246,4,52.41
vgpt2,taobao,249,3,74.7
vgpt2,taobao,55,2,92.73
vgpt2,taobao,28,1,96.43
vgpt2,000webhost,379528,9,0.76
vgpt2,000webhost,537956,8,2.46
vgpt2,000webhost,281474,11,0.02
vgpt2,000webhost,375335,10,0.11
vgpt2,000webhost,206791,12,0.0
vgpt2,000webhost,179285,7,8.65
vgpt2,000webhost,109152,6,19.59
vgpt2,000webhost,445,5,7.87
vgpt2,000webhost,109,2,73.39
vgpt2,000webhost,154,4,12.99
vgpt2,000webhost,126,3,26.19
vgpt2,000webhost,55,1,100.0
vgpt2,rockyou,761164,8,5.4
vgpt2,rockyou,651286,7,23.75
vgpt2,rockyou,594288,6,58.29
vgpt2,rockyou,529298,9,0.72
vgpt2,rockyou,463803,10,0.18
vgpt2,rockyou,194247,11,0.0
vgpt2,rockyou,121713,12,0.0
vgpt2,rockyou,83059,5,69.7
vgpt2,rockyou,6130,4,75.66
vgpt2,rockyou,108,2,84.26
vgpt2,rockyou,774,3,66.67
vgpt2,rockyou,21,1,100.0
vgpt2,linkedin,1336390,7,12.4
vgpt2,linkedin,2982323,8,3.17
vgpt2,linkedin,1521295,10,0.07
vgpt2,linkedin,1755937,9,0.52
vgpt2,linkedin,1085113,6,35.44
vgpt2,linkedin,507388,12,0.0
vgpt2,linkedin,794698,11,0.01
vgpt2,linkedin,516,5,25.39
vgpt2,linkedin,44,4,31.82
vgpt2,linkedin,10,1,100.0
vgpt2,linkedin,1,3,0.0
fla,ashleymadison,1926,4,99.38
fla,ashleymadison,18668,8,61.56
fla,ashleymadison,5385,5,84.7
fla,ashleymadison,13723,7,74.85
fla,ashleymadison,9888,9,48.09
fla,ashleymadison,7228,10,34.5
fla,ashleymadison,14721,6,87.47
fla,ashleymadison,1633,11,19.66
fla,ashleymadison,21,2,0.0
fla,ashleymadison,966,12,11.8
fla,ashleymadison,155,3,0.65
fla,ashleymadison,6,1,0.0
fla,libero,12247,10,53.16
