model,train-dataset,test-settings,test-hash,test-size,#gen,#matches,match_percentage
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,1000000,1125,1.57%,926365
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,2500000,1869,2.61%,2216165
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,5000000,2705,3.77%,4525125
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,7500000,3270,4.56%,6843655
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,10000000,3581,4.99%,9149107
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,25000000,4836,6.74%,23118370
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,50000000,5820,8.11%,46635139
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,75000000,6448,8.99%,70238996
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,100000000,6942,9.68%,93790168
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,250000000,8986,12.53%,234093131
passflow,ashleymadison,all-10-100-80,cee84d6c74d5c129b3f2f3ee39c2c9e1,71733,500000000,10919,15.22%,462713044
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,1000000,37926,12.36%,913820
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,2500000,47844,15.60%,2286105
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,5000000,55669,18.15%,4514761
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,7500000,60443,19.70%,6712233
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,10000000,63811,20.80%,8862810
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,25000000,74031,24.13%,21320734
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,50000000,82228,26.81%,42346313
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,75000000,87441,28.51%,63419890
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,100000000,91238,29.74%,84937230
passflow,mailru,all-8-100-80,f33bb989e8b77d9cf98678d1d917aadc,306752,250000000,103465,33.73%,215829297
