model,train-dataset,test-settings,n_samples,length,test-size,matches,match_percentage
passflow,000webhost,all-12-100-80,500000000,5,445,NONE,10.34
passflow,000webhost,all-12-100-80,500000000,3,126,NONE,7.94
passflow,000webhost,all-12-100-80,500000000,2,109,NONE,22.94
passflow,000webhost,all-12-100-80,500000000,1,55,NONE,100.0
passflow,rockyou,all-12-100-80,500000000,8,761164,NONE,2.32
passflow,rockyou,all-12-100-80,500000000,11,194247,NONE,0.0
passflow,rockyou,all-12-100-80,500000000,12,121713,NONE,0.0
passflow,rockyou,all-12-100-80,500000000,10,463803,NONE,0.0
passflow,rockyou,all-12-100-80,500000000,9,529298,NONE,0.0
passflow,rockyou,all-12-100-80,500000000,7,651286,NONE,18.86
passflow,rockyou,all-12-100-80,500000000,6,594288,NONE,69.06
passflow,rockyou,all-12-100-80,500000000,5,83059,NONE,82.87
passflow,rockyou,all-12-100-80,500000000,4,6130,NONE,88.53
passflow,rockyou,all-12-100-80,500000000,3,774,NONE,81.4
passflow,rockyou,all-12-100-80,500000000,2,108,NONE,55.56
passflow,rockyou,all-12-100-80,500000000,1,21,NONE,80.95
passflow,linkedin,all-12-100-80,500000000,8,2982323,NONE,1.13
passflow,linkedin,all-12-100-80,500000000,9,1755937,NONE,0.0
passflow,linkedin,all-12-100-80,500000000,7,1336390,NONE,4.06
passflow,linkedin,all-12-100-80,500000000,12,507388,NONE,0.0
passflow,linkedin,all-12-100-80,500000000,10,1521295,NONE,0.0
passflow,linkedin,all-12-100-80,500000000,6,1085113,NONE,24.94
passflow,linkedin,all-12-100-80,500000000,11,794698,NONE,0.0
passflow,linkedin,all-12-100-80,500000000,5,516,NONE,18.22
passflow,linkedin,all-12-100-80,500000000,4,44,NONE,22.73
passflow,linkedin,all-12-100-80,500000000,1,10,NONE,0.0
passflow,linkedin,all-12-100-80,500000000,3,1,NONE,0.0
passgpt,ashleymadison,all-12-100-80,500000000,6,14721,NONE,72.34
passgpt,ashleymadison,all-12-100-80,500000000,8,18668,NONE,35.45
passgpt,ashleymadison,all-12-100-80,500000000,10,7228,NONE,10.22
passgpt,ashleymadison,all-12-100-80,500000000,7,13723,NONE,51.69
passgpt,ashleymadison,all-12-100-80,500000000,9,9888,NONE,21.08
passgpt,ashleymadison,all-12-100-80,500000000,5,5385,NONE,74.78
passgpt,ashleymadison,all-12-100-80,500000000,4,1926,NONE,95.9
passgpt,ashleymadison,all-12-100-80,500000000,12,966,NONE,1.45
passgpt,ashleymadison,all-12-100-80,500000000,11,1633,NONE,3.61
passgpt,ashleymadison,all-12-100-80,500000000,3,155,NONE,99.35
passgpt,ashleymadison,all-12-100-80,500000000,2,21,NONE,100.0
passgpt,ashleymadison,all-12-100-80,500000000,1,6,NONE,100.0
passgpt,libero,all-12-100-80,500000000,7,9459,NONE,60.94
passgpt,libero,all-12-100-80,500000000,10,12247,NONE,29.08
passgpt,libero,all-12-100-80,500000000,9,17438,NONE,34.94
passgpt,libero,all-12-100-80,500000000,6,12737,NONE,82.91
passgpt,libero,all-12-100-80,500000000,8,31477,NONE,43.37
passgpt,libero,all-12-100-80,500000000,11,6487,NONE,20.97
passgpt,libero,all-12-100-80,500000000,12,4697,NONE,14.61
passgpt,libero,all-12-100-80,500000000,5,44,NONE,75.0
passgpt,libero,all-12-100-80,500000000,4,27,NONE,96.3
passgpt,libero,all-12-100-80,500000000,3,2,NONE,100.0
passgpt,libero,all-12-100-80,500000000,2,1,NONE,100.0
passgpt,mailru,all-12-100-80,500000000,9,74501,NONE,38.88
passgpt,mailru,all-12-100-80,500000000,6,79124,NONE,72.62
passgpt,mailru,all-12-100-80,500000000,8,135007,NONE,31.67
passgpt,mailru,all-12-100-80,500000000,7,85038,NONE,59.57
passgpt,mailru,all-12-100-80,500000000,11,36530,NONE,9.67
passgpt,mailru,all-12-100-80,500000000,12,29474,NONE,8.84
passgpt,mailru,all-12-100-80,500000000,5,4663,NONE,78.83
passgpt,mailru,all-12-100-80,500000000,10,50972,NONE,17.04
passgpt,mailru,all-12-100-80,500000000,4,3013,NONE,90.11
passgpt,mailru,all-12-100-80,500000000,3,111,NONE,92.79
passgpt,mailru,all-12-100-80,500000000,2,2,NONE,100.0
passgpt,mailru,all-12-100-80,500000000,1,1,NONE,100.0
passgpt,gmail,all-12-100-80,500000000,5,16700,NONE,85.41
passgpt,gmail,all-12-100-80,500000000,6,106116,NONE,75.0
passgpt,gmail,all-12-100-80,500000000,10,121286,NONE,16.56
passgpt,gmail,all-12-100-80,500000000,8,217137,NONE,39.81
passgpt,gmail,all-12-100-80,500000000,7,93461,NONE,51.0
passgpt,gmail,all-12-100-80,500000000,9,109135,NONE,29.84
passgpt,gmail,all-12-100-80,500000000,12,17203,NONE,7.77
passgpt,gmail,all-12-100-80,500000000,11,27565,NONE,14.46
passgpt,gmail,all-12-100-80,500000000,4,5044,NONE,93.64
passgpt,gmail,all-12-100-80,500000000,3,2080,NONE,91.73
passgpt,gmail,all-12-100-80,500000000,2,197,NONE,100.0
passgpt,gmail,all-12-100-80,500000000,1,27,NONE,100.0
passgpt,taobao,all-12-100-80,500000000,6,109352,NONE,66.64
passgpt,taobao,all-12-100-80,500000000,9,230425,NONE,20.15
passgpt,taobao,all-12-100-80,500000000,12,100824,NONE,11.55
passgpt,taobao,all-12-100-80,500000000,8,210559,NONE,34.63
passgpt,taobao,all-12-100-80,500000000,10,233478,NONE,16.63
passgpt,taobao,all-12-100-80,500000000,7,169805,NONE,65.67
passgpt,taobao,all-12-100-80,500000000,11,159572,NONE,11.45
passgpt,taobao,all-12-100-80,500000000,5,1699,NONE,64.27
passgpt,taobao,all-12-100-80,500000000,3,249,NONE,88.76
passgpt,taobao,all-12-100-80,500000000,4,1246,NONE,84.59
passgpt,taobao,all-12-100-80,500000000,2,55,NONE,96.36
passgpt,taobao,all-12-100-80,500000000,1,28,NONE,100.0
passgpt,000webhost,all-12-100-80,500000000,8,537956,NONE,21.99
passgpt,000webhost,all-12-100-80,500000000,9,379528,NONE,22.39
passgpt,000webhost,all-12-100-80,500000000,11,281474,NONE,9.99
passgpt,000webhost,all-12-100-80,500000000,10,375335,NONE,14.59
passgpt,000webhost,all-12-100-80,500000000,7,179285,NONE,34.36
passgpt,000webhost,all-12-100-80,500000000,12,206791,NONE,7.06
passgpt,000webhost,all-12-100-80,500000000,6,109152,NONE,51.73
passgpt,000webhost,all-12-100-80,500000000,4,154,NONE,32.47
passgpt,000webhost,all-12-100-80,500000000,3,126,NONE,41.27
passgpt,000webhost,all-12-100-80,500000000,5,445,NONE,16.18
passgpt,000webhost,all-12-100-80,500000000,2,109,NONE,86.24
passgpt,000webhost,all-12-100-80,500000000,1,55,NONE,100.0
passgpt,rockyou,all-12-100-80,500000000,6,594288,NONE,74.97
passgpt,rockyou,all-12-100-80,500000000,9,529298,NONE,36.74
passgpt,rockyou,all-12-100-80,500000000,7,651286,NONE,62.68
passgpt,rockyou,all-12-100-80,500000000,10,463803,NONE,27.27
passgpt,rockyou,all-12-100-80,500000000,8,761164,NONE,46.68
passgpt,rockyou,all-12-100-80,500000000,12,121713,NONE,14.03
passgpt,rockyou,all-12-100-80,500000000,11,194247,NONE,20.65
passgpt,rockyou,all-12-100-80,500000000,5,83059,NONE,84.8
passgpt,rockyou,all-12-100-80,500000000,4,6130,NONE,90.0
passgpt,rockyou,all-12-100-80,500000000,3,774,NONE,90.96
passgpt,rockyou,all-12-100-80,500000000,2,108,NONE,97.22
passgpt,rockyou,all-12-100-80,500000000,1,21,NONE,100.0
passgpt,linkedin,all-12-100-80,500000000,7,1336390,NONE,38.76
passgpt,linkedin,all-12-100-80,500000000,11,794698,NONE,14.42
passgpt,linkedin,all-12-100-80,500000000,9,1755937,NONE,24.74
passgpt,linkedin,all-12-100-80,500000000,6,1085113,NONE,55.75
passgpt,linkedin,all-12-100-80,500000000,10,1521295,NONE,17.59
passgpt,linkedin,all-12-100-80,500000000,8,2982323,NONE,28.78
passgpt,linkedin,all-12-100-80,500000000,12,507388,NONE,10.92
passgpt,linkedin,all-12-100-80,500000000,5,516,NONE,5.81
passgpt,linkedin,all-12-100-80,500000000,4,44,NONE,27.27
passgpt,linkedin,all-12-100-80,500000000,1,10,NONE,100.0
passgpt,linkedin,all-12-100-80,500000000,3,1,NONE,100.0
vgpt2,ashleymadison,all-12-100-80,500000000,10,7228,NONE,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,11,1633,NONE,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,6,14721,NONE,0.05
vgpt2,ashleymadison,all-12-100-80,500000000,8,18668,NONE,0.37
vgpt2,ashleymadison,all-12-100-80,500000000,5,5385,NONE,0.09
vgpt2,ashleymadison,all-12-100-80,500000000,9,9888,NONE,0.16
vgpt2,ashleymadison,all-12-100-80,500000000,7,13723,NONE,0.23
vgpt2,ashleymadison,all-12-100-80,500000000,12,966,NONE,0.0
vgpt2,ashleymadison,all-12-100-80,500000000,4,1926,NONE,0.1
vgpt2,ashleymadison,all-12-100-80,500000000,3,155,NONE,1.29
vgpt2,ashleymadison,all-12-100-80,500000000,1,6,NONE,100.0
vgpt2,ashleymadison,all-12-100-80,500000000,2,21,NONE,38.1
vgpt2,libero,all-12-100-80,500000000,6,12737,NONE,0.03
vgpt2,libero,all-12-100-80,500000000,9,17438,NONE,0.15
vgpt2,libero,all-12-100-80,500000000,10,12247,NONE,0.02
vgpt2,libero,all-12-100-80,500000000,11,6487,NONE,0.0
vgpt2,libero,all-12-100-80,500000000,5,44,NONE,0.0
vgpt2,libero,all-12-100-80,500000000,7,9459,NONE,0.02
vgpt2,libero,all-12-100-80,500000000,8,31477,NONE,0.06
vgpt2,libero,all-12-100-80,500000000,12,4697,NONE,0.0
vgpt2,libero,all-12-100-80,500000000,4,27,NONE,0.0
vgpt2,libero,all-12-100-80,500000000,2,1,NONE,100.0
vgpt2,libero,all-12-100-80,500000000,3,2,NONE,0.0
