model,train-dataset,test-settings,test-hash,test-size,n_samples,matches,match_percentage
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,250000000,15749,28.87%
passgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,500000000,17536,32.15%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,1000000,8331,1.89%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,2500000,14206,3.23%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,5000000,20048,4.55%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,7500000,24124,5.48%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,10000000,27249,6.19%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,25000000,38206,8.68%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,50000000,47405,10.77%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,75000000,53079,12.05%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,100000000,57278,13.01%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,250000000,70779,16.07%
passgan,gmail,all-8-100-80,a5fb2b0b53745df2f377930f171833d3,440342,500000000,81054,18.41%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,1000000,12081,2.45%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,2500000,24303,4.93%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,5000000,39303,7.98%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,7500000,50513,10.25%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,10000000,58416,11.86%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,25000000,84709,17.19%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,50000000,107728,21.87%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,75000000,122321,24.83%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,100000000,133247,27.05%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,250000000,168812,34.27%
plrgan,taobao,all-8-100-80,4840d06e3767126ebb499539e981fd5b,492631,500000000,196131,39.81%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,1000000,8,0.01%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,2500000,13,0.02%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,5000000,18,0.03%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,7500000,23,0.04%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,10000000,30,0.06%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,25000000,54,0.10%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,50000000,82,0.15%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,75000000,107,0.20%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,100000000,130,0.24%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,250000000,231,0.43%
vgpt2,libero,all-8-100-80,9727e5cd231958c73bbdec355edb3a80,53632,500000000,322,0.60%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,1000000,2801,5.14%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,2500000,4671,8.56%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,5000000,6083,11.15%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,7500000,6666,12.22%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,10000000,7114,13.04%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,25000000,8595,15.76%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,50000000,10058,18.44%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,75000000,11020,20.20%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,100000000,11686,21.43%
plrgan,ashleymadison,all-8-100-80,8e9b567900eab3bddf0a859b8f7d9485,54542,250000000,14131,25.91%
