model,train-dataset,test-settings,n_samples,length,matches,match_percentage
fla,rockyou,all-12-100-80,500000000,9,94266120,18.85
fla,rockyou,all-12-100-80,500000000,10,87752621,17.55
fla,rockyou,all-12-100-80,500000000,11,11589478,2.32
fla,rockyou,all-12-100-80,500000000,12,3758539,0.75
fla,mailru,all-12-100-80,500000000,1,0,0.0
fla,mailru,all-12-100-80,500000000,2,0,0.0
fla,mailru,all-12-100-80,500000000,3,0,0.0
fla,mailru,all-12-100-80,500000000,4,1164361,0.23
fla,mailru,all-12-100-80,500000000,5,3892958,0.78
fla,mailru,all-12-100-80,500000000,6,64465624,12.89
fla,mailru,all-12-100-80,500000000,7,102968924,20.59
fla,mailru,all-12-100-80,500000000,8,140957851,28.19
fla,mailru,all-12-100-80,500000000,9,77601646,15.52
fla,mailru,all-12-100-80,500000000,10,57951739,11.59
fla,mailru,all-12-100-80,500000000,11,30036288,6.01
fla,mailru,all-12-100-80,500000000,12,20960609,4.19
fla,ashleymadison,all-12-100-80,500000000,1,0,0.0
fla,ashleymadison,all-12-100-80,500000000,2,0,0.0
fla,ashleymadison,all-12-100-80,500000000,3,35,0.0
fla,ashleymadison,all-12-100-80,500000000,4,2192404,0.44
fla,ashleymadison,all-12-100-80,500000000,5,22893608,4.58
fla,ashleymadison,all-12-100-80,500000000,6,76933037,15.39
fla,ashleymadison,all-12-100-80,500000000,7,98369668,19.67
fla,ashleymadison,all-12-100-80,500000000,8,164596535,32.92
fla,ashleymadison,all-12-100-80,500000000,9,72708126,14.54
fla,ashleymadison,all-12-100-80,500000000,10,50583281,10.12
fla,ashleymadison,all-12-100-80,500000000,11,8773149,1.75
fla,ashleymadison,all-12-100-80,500000000,12,2950157,0.59
fla,gmail,all-12-100-80,500000000,1,0,0.0
fla,gmail,all-12-100-80,500000000,2,22,0.0
fla,gmail,all-12-100-80,500000000,3,4251,0.0
fla,gmail,all-12-100-80,500000000,4,1278374,0.26
fla,gmail,all-12-100-80,500000000,5,6192109,1.24
fla,gmail,all-12-100-80,500000000,6,53614641,10.72
fla,gmail,all-12-100-80,500000000,7,76921354,15.38
fla,gmail,all-12-100-80,500000000,8,193895106,38.78
fla,gmail,all-12-100-80,500000000,9,79294715,15.86
fla,gmail,all-12-100-80,500000000,10,69573105,13.91
fla,gmail,all-12-100-80,500000000,11,13614427,2.72
