model,train-dataset,test-settings,n_samples,pattern,matches,match_percentage
passgpt,libero,all-12-100-80,500000000,r13,701322,0.14
passgpt,libero,all-12-100-80,500000000,r14,93825063,18.77
passgpt,libero,all-12-100-80,500000000,r15,372956,0.07
passgpt,libero,all-12-100-80,500000000,r16,86828,0.02
passgpt,libero,all-12-100-80,500000000,r17,758085,0.15
passgpt,libero,all-12-100-80,500000000,r18,1288827,0.26
passgpt,libero,all-12-100-80,500000000,r19,39304413,7.86
passgpt,000webhost,all-12-100-80,500000000,r1,1315812,0.26
passgpt,000webhost,all-12-100-80,500000000,r2,1087532,0.22
passgpt,000webhost,all-12-100-80,500000000,r3,28514,0.01
passgpt,000webhost,all-12-100-80,500000000,r4,113903,0.02
passgpt,000webhost,all-12-100-80,500000000,r5,24082,0.0
passgpt,000webhost,all-12-100-80,500000000,r6,464785444,92.96
passgpt,000webhost,all-12-100-80,500000000,r7,6880846,1.38
passgpt,000webhost,all-12-100-80,500000000,r8,1842278,0.37
passgpt,000webhost,all-12-100-80,500000000,r9,25015738,5.0
passgpt,000webhost,all-12-100-80,500000000,r10,354775925,70.96
passgpt,000webhost,all-12-100-80,500000000,r11,10629032,2.13
passgpt,000webhost,all-12-100-80,500000000,r12,3711312,0.74
passgpt,000webhost,all-12-100-80,500000000,r13,2337012,0.47
passgpt,000webhost,all-12-100-80,500000000,r14,19542857,3.91
passgpt,000webhost,all-12-100-80,500000000,r15,28022,0.01
passgpt,000webhost,all-12-100-80,500000000,r16,66287,0.01
passgpt,000webhost,all-12-100-80,500000000,r17,109484,0.02
passgpt,000webhost,all-12-100-80,500000000,r18,2597647,0.52
passgpt,000webhost,all-12-100-80,500000000,r19,65294358,13.06
passgpt,rockyou,all-12-100-80,500000000,r1,130769733,26.16
passgpt,rockyou,all-12-100-80,500000000,r2,117464976,23.49
passgpt,rockyou,all-12-100-80,500000000,r3,7384166,1.48
passgpt,rockyou,all-12-100-80,500000000,r4,86304105,17.26
passgpt,rockyou,all-12-100-80,500000000,r5,59346,0.01
passgpt,rockyou,all-12-100-80,500000000,r6,250491431,50.1
passgpt,rockyou,all-12-100-80,500000000,r7,14091161,2.82
passgpt,rockyou,all-12-100-80,500000000,r8,1713079,0.34
passgpt,rockyou,all-12-100-80,500000000,r9,16544501,3.31
passgpt,rockyou,all-12-100-80,500000000,r10,211798394,42.36
passgpt,rockyou,all-12-100-80,500000000,r11,9802211,1.96
passgpt,rockyou,all-12-100-80,500000000,r12,4055618,0.81
passgpt,rockyou,all-12-100-80,500000000,r13,1038544,0.21
passgpt,rockyou,all-12-100-80,500000000,r14,92599851,18.52
passgpt,rockyou,all-12-100-80,500000000,r15,376372,0.08
passgpt,rockyou,all-12-100-80,500000000,r16,1503549,0.3
passgpt,rockyou,all-12-100-80,500000000,r17,683602,0.14
passgpt,rockyou,all-12-100-80,500000000,r18,3464815,0.69
passgpt,rockyou,all-12-100-80,500000000,r19,45381788,9.08
passgpt,mailru,all-12-100-80,500000000,r1,93353106,18.67
passgpt,mailru,all-12-100-80,500000000,r2,72683753,14.54
passgpt,mailru,all-12-100-80,500000000,r3,1818872,0.36
passgpt,mailru,all-12-100-80,500000000,r4,55324914,11.07
passgpt,mailru,all-12-100-80,500000000,r5,11237,0.0
passgpt,mailru,all-12-100-80,500000000,r6,337589624,67.52
passgpt,mailru,all-12-100-80,500000000,r7,3794281,0.76
passgpt,mailru,all-12-100-80,500000000,r8,2663386,0.53
passgpt,mailru,all-12-100-80,500000000,r9,7233332,1.45
passgpt,mailru,all-12-100-80,500000000,r10,176484665,35.3
passgpt,mailru,all-12-100-80,500000000,r11,1119408,0.22
passgpt,mailru,all-12-100-80,500000000,r12,2629558,0.53
passgpt,mailru,all-12-100-80,500000000,r13,1371632,0.27
passgpt,mailru,all-12-100-80,500000000,r14,72145376,14.43
passgpt,mailru,all-12-100-80,500000000,r15,127015,0.03
passgpt,mailru,all-12-100-80,500000000,r16,193997,0.04
passgpt,mailru,all-12-100-80,500000000,r17,464210,0.09
passgpt,mailru,all-12-100-80,500000000,r18,242527,0.05
passgpt,mailru,all-12-100-80,500000000,r19,30321646,6.06
passgpt,ashleymadison,all-12-100-80,500000000,r1,174619516,34.93
