model,train-dataset,test-settings,test-hash,n_samples,matches,match_percentage,#uniques,
omen,gmail,all-12-100-80,NONE,100000000,171483,23.951745368404588
omen,gmail,all-12-100-80,NONE,250000000,200251,27.969891836324223
omen,gmail,all-12-100-80,NONE,500000000,244703,34.17868795673453
omen,linkedin,all-12-100-80,NONE,1000000,45514,0.4558823588331239
omen,linkedin,all-12-100-80,NONE,2500000,66750,0.6685887298877492
omen,linkedin,all-12-100-80,NONE,5000000,123956,1.2415817917897503
omen,linkedin,all-12-100-80,NONE,7500000,176453,1.767408047264165
omen,linkedin,all-12-100-80,NONE,10000000,195419,1.9573773933473266
omen,linkedin,all-12-100-80,NONE,25000000,317666,3.1818413103898386
omen,linkedin,all-12-100-80,NONE,50000000,527814,5.286748941977115
omen,linkedin,all-12-100-80,NONE,75000000,572558,5.73491874167895
omen,linkedin,all-12-100-80,NONE,100000000,611686,6.126836941275172
omen,linkedin,all-12-100-80,NONE,250000000,1170677,11.725864397585028
omen,linkedin,all-12-100-80,NONE,500000000,1339741,13.419261926120496
omen,rockyou,all-12-100-80,NONE,1000000,107462,3.1551793186630697
omen,rockyou,all-12-100-80,NONE,2500000,239469,7.031021535621211
omen,rockyou,all-12-100-80,NONE,5000000,281283,8.258717540074672
omen,rockyou,all-12-100-80,NONE,7500000,297865,8.74557971891064
omen,rockyou,all-12-100-80,NONE,10000000,458860,13.47253524186909
omen,rockyou,all-12-100-80,NONE,25000000,579137,17.00397428926108
omen,rockyou,all-12-100-80,NONE,50000000,619687,18.194558136312015
omen,rockyou,all-12-100-80,NONE,75000000,879562,25.82471787126544
omen,rockyou,all-12-100-80,NONE,100000000,948258,27.841693159971015
omen,rockyou,all-12-100-80,NONE,250000000,1045544,30.698096122836542
omen,rockyou,all-12-100-80,NONE,500000000,1372347,40.29332110354644
omen,mailru,all-12-100-80,NONE,1000000,52321,10.497013664715901
omen,mailru,all-12-100-80,NONE,2500000,70507,14.14561920563682
omen,mailru,all-12-100-80,NONE,5000000,78061,15.661156776082032
omen,mailru,all-12-100-80,NONE,7500000,81749,16.401069744019807
omen,mailru,all-12-100-80,NONE,10000000,92138,18.485385314493104
omen,mailru,all-12-100-80,NONE,25000000,112800,22.63074370482127
omen,mailru,all-12-100-80,NONE,50000000,117954,23.664776090057522
omen,mailru,all-12-100-80,NONE,75000000,146953,29.48276311750532
omen,mailru,all-12-100-80,NONE,100000000,150078,30.10972299407949
omen,mailru,all-12-100-80,NONE,250000000,168788,33.863457167104364
omen,mailru,all-12-100-80,NONE,500000000,191478,38.41568743893411
omen,taobao,all-12-100-80,NONE,1000000,28288,2.323844793324204
omen,taobao,all-12-100-80,NONE,2500000,47758,3.9232953775303074
omen,taobao,all-12-100-80,NONE,5000000,57921,4.758180651659051
omen,taobao,all-12-100-80,NONE,7500000,65207,5.356721841002947
omen,taobao,all-12-100-80,NONE,10000000,79875,6.561690570799307
omen,taobao,all-12-100-80,NONE,25000000,148712,12.216615063094917
omen,taobao,all-12-100-80,NONE,50000000,166091,13.644291062217558
omen,taobao,all-12-100-80,NONE,75000000,203679,16.732126119184123
omen,taobao,all-12-100-80,NONE,100000000,248089,20.38038500180318
omen,taobao,all-12-100-80,NONE,250000000,302496,24.84989234309242
omen,taobao,all-12-100-80,NONE,500000000,344357,28.288752173880898
pcfg,libero,all-12-100-80,NONE,1000000,24268,25.648667786972744
pcfg,libero,all-12-100-80,NONE,2500000,27947,29.5369753849731
pcfg,libero,all-12-100-80,NONE,5000000,29765,31.4584059946944
pcfg,libero,all-12-100-80,NONE,7500000,30875,32.63155669699948
pcfg,libero,all-12-100-80,NONE,10000000,31628,33.42739676802266
pcfg,libero,all-12-100-80,NONE,25000000,34166,36.10978999545536
pcfg,libero,all-12-100-80,NONE,50000000,36059,38.1104875445216
pcfg,libero,all-12-100-80,NONE,75000000,37059,39.167380069120775
pcfg,libero,all-12-100-80,NONE,100000000,37681,39.82476721942146
pcfg,libero,all-12-100-80,NONE,250000000,39595,41.847659511504276
pcfg,libero,all-12-100-80,NONE,500000000,40781,43.1011340456789
pcfg,000webhost,all-12-100-80,NONE,1000000,171403,8.278694423474372
pcfg,000webhost,all-12-100-80,NONE,2500000,233297,11.26814917424608
pcfg,000webhost,all-12-100-80,NONE,5000000,278573,13.45496135791396
pcfg,000webhost,all-12-100-80,NONE,7500000,302161,14.59425205913222
pcfg,000webhost,all-12-100-80,NONE,10000000,320030,15.457317411856872
pcfg,000webhost,all-12-100-80,NONE,25000000,385495,18.6192499943248
pcfg,000webhost,all-12-100-80,NONE,50000000,434938,21.007326564628954
pcfg,000webhost,all-12-100-80,NONE,75000000,467840,22.596479636168855
pcfg,000webhost,all-12-100-80,NONE,100000000,488606,23.599468897721273
pcfg,000webhost,all-12-100-80,NONE,250000000,550005,26.565015352024307
pcfg,000webhost,all-12-100-80,NONE,500000000,595940,28.78365696472826
pcfg,gmail,all-12-100-80,NONE,1000000,73624,10.283370952242608
pcfg,gmail,all-12-100-80,NONE,2500000,131837,18.414223299886025
pcfg,gmail,all-12-100-80,NONE,5000000,155570,21.729110331418866
pcfg,gmail,all-12-100-80,NONE,7500000,166432,23.246251145328177
pcfg,gmail,all-12-100-80,NONE,10000000,173832,24.279839989273025
pcfg,gmail,all-12-100-80,NONE,25000000,195810,27.349598855789214
pcfg,gmail,all-12-100-80,NONE,50000000,212503,29.681179743893445
pcfg,gmail,all-12-100-80,NONE,75000000,222440,31.069121952309654
pcfg,gmail,all-12-100-80,NONE,100000000,229680,32.080362929358394
pcfg,gmail,all-12-100-80,NONE,250000000,256900,35.882293785058216
pcfg,gmail,all-12-100-80,NONE,500000000,276837,38.666977674480975
pcfg,ashleymadison,all-12-100-80,NONE,1000000,13767,18.523701241910093
pcfg,ashleymadison,all-12-100-80,NONE,2500000,16585,22.315361741634263
pcfg,ashleymadison,all-12-100-80,NONE,5000000,18635,25.07366693128456
pcfg,ashleymadison,all-12-100-80,NONE,7500000,20042,26.96680615169333
pcfg,ashleymadison,all-12-100-80,NONE,10000000,20804,27.99208837340725
pcfg,ashleymadison,all-12-100-80,NONE,25000000,23519,31.64516085628557
pcfg,ashleymadison,all-12-100-80,NONE,50000000,25785,34.69409722689415
pcfg,ashleymadison,all-12-100-80,NONE,75000000,26962,36.27776806017142
pcfg,ashleymadison,all-12-100-80,NONE,100000000,27739,37.323233002785216
pcfg,ashleymadison,all-12-100-80,NONE,250000000,29870,40.19052488529487
pcfg,ashleymadison,all-12-100-80,NONE,500000000,31261,42.0621358700771
pcfg,rockyou,all-12-100-80,NONE,1000000,290383,8.525901584665633
pcfg,rockyou,all-12-100-80,NONE,2500000,338100,9.926914887494965
pcfg,rockyou,all-12-100-80,NONE,5000000,598340,17.567791345116053
pcfg,rockyou,all-12-100-80,NONE,7500000,781478,22.944884922951168
pcfg,rockyou,all-12-100-80,NONE,10000000,872353,25.613055258358163
pcfg,rockyou,all-12-100-80,NONE,25000000,1069599,31.404372187961332
pcfg,rockyou,all-12-100-80,NONE,50000000,1188152,34.885193071301146
pcfg,rockyou,all-12-100-80,NONE,75000000,1256247,36.88452246871011
pcfg,rockyou,all-12-100-80,NONE,100000000,1302457,38.241288919319814
pcfg,rockyou,all-12-100-80,NONE,250000000,1438288,42.2294071567742
pcfg,rockyou,all-12-100-80,NONE,500000000,1540659,45.23511021488644
pcfg,linkedin,all-12-100-80,NONE,1000000,168648,1.689230743342459
pcfg,linkedin,all-12-100-80,NONE,2500000,232618,2.3299741298730856
pcfg,linkedin,all-12-100-80,NONE,5000000,323785,3.2431311147071895
pcfg,linkedin,all-12-100-80,NONE,7500000,497266,4.9807706869866895
pcfg,linkedin,all-12-100-80,NONE,10000000,692751,6.938809156830985
pcfg,linkedin,all-12-100-80,NONE,25000000,1374072,13.76313188395984
pcfg,linkedin,all-12-100-80,NONE,50000000,1884138,18.872111346116014
pcfg,linkedin,all-12-100-80,NONE,75000000,2150094,21.53600923744225
pcfg,linkedin,all-12-100-80,NONE,100000000,2342283,23.461033947680402
pcfg,linkedin,all-12-100-80,NONE,250000000,2948564,29.533732730378148
pcfg,linkedin,all-12-100-80,NONE,500000000,3363892,33.69378696269004
pcfg,mailru,all-12-100-80,NONE,1000000,84376,16.928117294663117
pcfg,mailru,all-12-100-80,NONE,2500000,114124,22.896374065328214
pcfg,mailru,all-12-100-80,NONE,5000000,128739,25.828540016090294
pcfg,mailru,all-12-100-80,NONE,7500000,135974,27.280077522334818
pcfg,mailru,all-12-100-80,NONE,10000000,140232,28.13434797175972
pcfg,mailru,all-12-100-80,NONE,25000000,154013,30.899190870661684
pcfg,mailru,all-12-100-80,NONE,50000000,164820,33.06736859422555
pcfg,mailru,all-12-100-80,NONE,75000000,171108,34.32891217947303
pcfg,mailru,all-12-100-80,NONE,100000000,175730,35.2562109153213
pcfg,mailru,all-12-100-80,NONE,250000000,190406,38.200615122874105
pcfg,mailru,all-12-100-80,NONE,500000000,200663,40.25844790816091
pcfg,taobao,all-12-100-80,NONE,1000000,53709,4.412166996770703
pcfg,taobao,all-12-100-80,NONE,2500000,69738,5.728941183429134
pcfg,taobao,all-12-100-80,NONE,5000000,104747,8.604912703843691
pcfg,taobao,all-12-100-80,NONE,7500000,125002,10.268850638260469
pcfg,taobao,all-12-100-80,NONE,10000000,134214,11.025611746719976
pcfg,taobao,all-12-100-80,NONE,25000000,176142,14.469975593386309
pcfg,taobao,all-12-100-80,NONE,50000000,205816,16.907679580840437
pcfg,taobao,all-12-100-80,NONE,75000000,223135,18.330426610520227
pcfg,taobao,all-12-100-80,NONE,100000000,237489,19.50960040023232
pcfg,taobao,all-12-100-80,NONE,250000000,285553,23.45803352192118
pcfg,taobao,all-12-100-80,NONE,500000000,318517,26.166009333825137
